feature,importance
SIG_37,0.08013394854027361
SIG_15,0.07237839909141497
SIG_31,0.06818099317291408
SIG_10,0.05509687344826318
SIG_1,0.0430956050235137
SIG_19,0.04103426889676876
SIG_38,0.03945096491570513
SIG_21,0.0394362501186798
SIG_5,0.03755257655956335
SIG_13,0.03468338330029188
SIG_11,0.03395291516863268
SIG_32,0.03225545292138935
SIG_4,0.03193427614971569
SIG_34,0.029885307476810116
SIG_6,0.028736374953549117
SIG_8,0.026798908863890712
SIG_33,0.023186306869149114
SIG_7,0.020364803612023114
SIG_2,0.02005469462137098
SIG_35,0.018918192811047892
