Group,Train_Samples,Test_Samples,Best_Alpha,Accuracy,ROC_AUC,PR_AUC
5.0,16573,7930,10.0,0.5055485498108448,0.5046339504809518,0.5075166761269867
3.0,53418,27120,0.46415888336127775,0.49874631268436576,0.502155709942548,0.4946418077465795
8.0,63535,29752,215.44346900318823,0.4986891637536972,0.496822898264016,0.49384298290674367
1.0,20655,11607,1000.0,0.4962522615662962,0.4983594250066646,0.4882601303396617
2.0,18394,9130,1000.0,0.4951807228915663,0.494102202008705,0.49015151830512055
4.0,59654,27729,1000.0,0.5055717840527967,0.5073778975167992,0.5102890462555977
7.0,81034,40655,46.41588833612773,0.5022014512360103,0.501461402613472,0.4960469793504661
11.0,3042,3742,1000.0,0.5048102618920364,0.5025183566790659,0.509681820542039
10.0,12942,5733,1000.0,0.5011337868480725,0.4997917599750745,0.5070263415354015
6.0,48430,26719,0.001,0.5000935663759871,0.5050771334916575,0.5059775999065067
0.0,4410,1897,2.154434690031882,0.4976278334211914,0.4948834932009882,0.5090737104800012
9.0,4560,3235,0.46415888336127775,0.5162287480680062,0.5107612558086541,0.4989714013216295
