Sector,Accuracy,Count
9.0,0.5104228707564026,3358
1.0,0.5083586626139818,11844
3.0,0.5076523140011716,27312
7.0,0.5050865564377109,41187
2.0,0.5037053182214473,9176
8.0,0.5020271168416856,30092
11.0,0.4977017364657814,3916
4.0,0.4969052985581911,27951
10.0,0.49677306820163963,5733
5.0,0.4966779491036731,7977
6.0,0.49570490146538654,27706
0.0,0.485989894350023,2177
