Model,Accuracy,ROC_AUC,PR_AUC
LightGBM,0.5004913596298928,0.5012828411270042,0.49948386713653464
RandomForest,0.5005518346612642,0.5008012006674282,0.49815127651225266
MLP,0.5018016519762736,0.500279024118937,0.498428395589269
Transformer,0.5064005644592279,0.49969490813098555,0.49415083898237716
CNN,0.5018016519762736,0.4993250411659736,0.49742156302517
LSTM,0.5064005644592279,0.49607490158125217,0.4899977621951469
